,Company,ESP,Estimate_eps,Estimate_sales,Reported_eps,Reported_sales,cap,symbol,timing
2020-07-28,Armstrong World...,-0.16,0.91,219.67,0.75,203.2,3830.0,AWI,bmo
2020-07-28,Wyndham Hotels...,--,-0.06,230.4,,,4255.0,WH,amc
2020-07-28,Eastgroup Prope...,--,1.27,88.65,,,4747.0,EGP,amc
2020-07-28,Helmerich  Payn...,--,-0.67,303.56,,,2153.0,HP,amc
2020-07-28,Ecolab Inc.,-0.18,0.83,2842.07,0.65,2685.7,60750.0,ECL,bmo
2020-07-28,Horizon Technol...,--,0.29,11.08,,,190.0,HRZN,amc
2020-07-28,Sensata Technol...,+0.02,0.16,583.52,0.18,576.51,6352.0,ST,bmo
2020-07-28,Juniper Network...,--,0.35,1052.9,,,8112.0,JNPR,amc
2020-07-28,Edison Internat...,--,1.11,3016.7,,,21172.0,EIX,amc
2020-07-28,Stag Industrial...,--,0.46,117.29,,,4609.0,STAG,amc
2020-07-28,Dte Energy Comp...,+0.22,1.31,2903.79,1.53,-999.0,22068.0,DTE,bmo
2020-07-28,Unum Group,--,1.19,2953.38,,,3688.0,UNM,amc
2020-07-28,Packaging Corpo...,--,1.28,1671.73,,,9749.0,PKG,amc
2020-07-28,Axis Capital Ho...,--,0.66,,,,3449.0,AXS,amc
2020-07-28,Tenable Holding...,--,-0.05,102.04,,,2998.0,TENB,amc
2020-07-28,Ovintiv Inc.,--,-0.41,1279.01,,,2861.0,OVV,amc
2020-07-28,Rockwell Automa...,+0.14,1.13,1389.85,1.27,1394.0,26198.0,ROK,bmo
2020-07-28,Avis Budget Gro...,--,-5.58,828.72,,,2051.0,CAR,amc
2020-07-28,Franklin Resour...,+0.17,0.53,,0.7,1188.1,10203.0,BEN,bmo
2020-07-28,Celanese Corpor...,--,1.09,1073.75,,,10928.0,CE,amc
2020-07-28,Nabors Industri...,--,-26.4,540.71,,,312.0,NBR,amc
2020-07-28,Xerox Corporati...,+0.03,0.12,1544.48,0.15,1465.0,3332.0,XRX,bmo
2020-07-28,Aflac Incorpora...,--,1.03,5475.85,,,26383.0,AFL,amc
2020-07-28,"D.r. Horton, In...",+0.45,1.27,5027.07,1.72,5390.0,23176.0,DHI,bmo
2020-07-28,Matador Resourc...,--,-0.18,166.26,,,1053.0,MTDR,amc
2020-07-28,Msci Inc,+0.07,1.7,411.87,1.77,409.62,32239.0,MSCI,bmo
2020-07-28,Jetblue Airways...,-0.16,-1.86,220.1,-2.02,215.0,2775.0,JBLU,bmo
2020-07-28,Asbury Automoti...,+0.05,2.47,1405.75,2.52,1445.1,2016.0,ABG,bmo
2020-07-28,Mondelez Intern...,--,0.56,5874.37,,,78626.0,MDLZ,amc
2020-07-28,Hawaiian Holdin...,--,-3.72,60.98,,,604.0,HA,amc
2020-07-28,Boyd Gaming Cor...,--,-1.45,167.25,,,2470.0,BYD,amc
2020-07-28,Masimo Corporat...,--,0.78,289.33,,,12634.0,MASI,amc
2020-07-28,"Harleydavidson,...",-0.66,0.06,798.14,-0.6,669.27,4453.0,HOG,bmo
2020-07-28,Yandex N.v.,+0.04,0.05,594.73,0.09,591.9,18256.0,YNDX,bmo
2020-07-27,Aerojet Rocketd...,,0.43,501.04,0.47,512.4,2928.0,AJRD,amc
2020-07-27,Nxp Semiconduct...,,0.85,1808.07,0.7,1817.0,32294.0,NXPI,amc
2020-07-27,Encompass Healt...,,0.39,1062.1,0.31,1074.1,6565.0,EHC,amc
2020-07-27,"Brown  Brown, I...",,0.29,574.69,0.34,598.8,12867.0,BRO,amc
2020-07-27,Ryanair Holding...,,-1.45,138.6,-0.93,137.83,16557.0,RYAAY,bmo
2020-07-27,Ucb Sa,,,,,,24965.0,UCBJF,bmo
2020-07-27,"Legg Mason, Inc...",,0.71,692.32,0.71,666.19,4446.0,LM,bmo
2020-07-27,Hexcel Corporat...,,0.2,343.57,0.08,378.7,3811.0,HXL,amc
2020-07-27,Affiliated Mana...,,2.7,464.03,2.74,471.1,3318.0,AMG,bmo
2020-07-27,Avery Dennison...,,1.12,1512.32,1.27,1528.5,10035.0,AVY,bmo
2020-07-27,Universal Healt...,,0.52,2428.44,2.93,2729.75,9179.0,UHS,amc
2020-07-27,"Usa Truck, Inc....",,-0.09,117.4,-0.06,123.74,76.0,USAK,amc
2020-07-27,Koppers Holding...,,0.73,415.0,1.27,436.6,430.0,KOP,bmo
2020-07-27,Amkor Technolog...,,-0.02,1050.38,0.23,1172.91,2912.0,AMKR,amc
2020-07-27,Alexandria Real...,,1.81,,1.81,436.96,21257.0,ARE,amc
2020-07-27,Nitto Denko Cor...,,,1532.41,0.37,1518.46,9170.0,NDEKY,bmo
2020-07-27,Vermilion Energ...,,-0.62,153.53,-0.33,139.24,741.0,VET,bmo
2020-07-27,Comfort Systems...,,0.32,693.4,1.08,743.47,1498.0,FIX,amc
2020-07-27,Alliance Resour...,,-0.45,198.0,-0.37,255.2,431.0,ARLP,bmo
2020-07-27,"F5 Networks, In...",,2.05,572.01,2.18,583.25,9263.0,FFIV,amc
2020-07-27,Sap Se,,1.28,7296.24,1.29,7423.38,189329.0,SAP,bmo
2020-07-27,"Hasbro, Inc.",,0.19,976.04,0.02,860.28,10631.0,HAS,bmo
2020-07-27,Martin Midstrea...,,-0.13,,-0.06,140.64,95.0,MMLP,amc
2020-07-27,Cemex S.a.b. De...,,,,0.01,2911.55,4162.0,CX,bmo
2020-07-27,National Oilwel...,,-0.11,1535.88,-0.07,1496.0,4946.0,NOV,amc
2020-07-27,Cincinnati Fina...,,0.41,1640.6,0.44,1654.0,13384.0,CINF,amc
2020-07-27,Crane Company,,0.47,611.9,0.64,677.9,3512.0,CR,amc
2020-07-27,Eqt Corporation...,,-0.15,802.77,-0.18,816.24,3621.0,EQT,bmo
2020-07-27,Vocera Communic...,,-0.07,40.04,0.1,47.35,743.0,VCRA,amc
2020-07-27,Principal Finan...,,1.31,3831.6,1.46,3181.1,12261.0,PFG,amc
2020-07-27,Heidrick  Strug...,,0.13,122.55,0.37,145.6,403.0,HSII,amc
2020-07-27,Medpace Holding...,,0.42,180.62,0.68,205.0,3743.0,MEDP,amc
2020-07-27,Luxfer Holdings...,,0.14,84.4,0.17,89.5,371.0,LXFR,amc
2020-07-27,Rpm Internation...,,1.01,1446.3,1.13,1458.96,10341.0,RPM,bmo
2020-07-27,Cathay General...,,0.55,144.33,0.68,150.08,2022.0,CATY,amc
2020-07-27,Albertsons Comp...,,1.33,22834.7,1.35,22751.6,7717.0,ACI,bmo
2020-07-27,"Qcr Holdings, I...",,0.64,54.81,0.88,69.57,458.0,QCRH,amc
2020-07-27,Franklin Financ...,,,,0.7,40.08,401.0,FSB,bmo
2020-07-27,"Donegal Group,...",,0.26,195.7,0.61,192.41,397.0,DGICA,amc
2020-07-27,Waterstone Fina...,,0.36,59.1,0.85,80.15,365.0,WSBF,amc
2020-07-27,"Hbt Financial,...",,0.26,37.0,0.3,36.97,336.0,HBT,bmo
2020-07-27,Rbb Bancorp,,0.28,27.4,0.33,27.24,261.0,RBB,amc
2020-07-27,Silvergate Capi...,,0.16,20.2,0.29,21.49,259.0,SI,bmo
2020-07-27,Hooker Furnitur...,,,,-0.09,104.6,248.0,HOFT,bmo
2020-07-27,Hometrust Bancs...,,0.21,32.1,0.22,31.91,246.0,HTBI,amc
2020-07-27,Southern Nation...,,0.35,25.2,0.19,30.87,214.0,SONA,amc
2020-07-27,Southern Missou...,,0.52,23.69,0.76,26.85,200.0,SMBC,amc
2020-07-27,Hitachi Constr,,0.39,1601.85,0.02,1582.12,6389.0,HTCMY,bmo
2020-07-27,"Bcb Bancorp, In...",,0.07,19.9,0.14,19.1,153.0,BCBP,amc
2020-07-27,Northrim Bancor...,,0.53,27.2,1.52,34.99,146.0,NRIM,amc
2020-07-27,"Parke Bancorp,...",,,,0.55,15.82,144.0,PKBK,amc
2020-07-27,Heartland Bancc...,,0.77,16.6,2.03,14.77,130.0,HLAN,amc
2020-07-27,"Intevac, Inc.",,-0.17,15.6,0.06,28.84,125.0,IVAC,amc
2020-07-27,First Bank,,0.15,16.55,0.21,18.21,122.0,FRBA,amc
2020-07-27,Sb Financial Gr...,,0.42,15.2,0.71,17.49,109.0,SBFG,amc
2020-07-27,Cb Financial Se...,,0.14,13.0,0.54,12.97,104.0,CBFV,amc
2020-07-27,Meridian Bank,,0.19,19.98,0.94,32.28,85.0,MRBK,amc
2020-07-27,Tessco Technolo...,,-0.59,110.81,-0.54,119.81,52.0,TESS,amc
2020-07-27,"Trxade Group, I...",,0.01,1.95,-0.07,6.59,47.0,MEDS,amc
2020-07-27,Zenyatta Ventur...,,,,-0.01,0.0,38.0,ZENYF,amc
2020-07-27,Amrep Corporati...,,,,0.01,4.77,37.0,AXR,bmo
2020-07-27,A.h. Belo Corpo...,,,,-0.16,35.42,34.0,AHC,amc
2020-07-27,Bioasis Technol...,,,,-0.01,0.0,18.0,BIOAF,amc
2020-07-27,Champions Oncol...,,0.01,8.48,-0.16,8.75,111.0,CSBR,amc
2020-07-27,Crispr Therapeu...,,-0.92,23.08,-1.3,0.04,5598.0,CRSP,amc
2020-07-27,Agnc Investment...,,0.46,330.9,0.58,372.0,7563.0,AGNC,amc
2020-07-27,The First Bancs...,,0.44,46.49,0.52,54.86,438.0,FBMS,amc
2020-07-27,"Howard Bancorp,...",,0.15,19.91,0.2,22.88,187.0,HBMD,amc
2020-07-27,"Trueblue, Inc.",,-0.39,344.12,-0.12,358.94,493.0,TBI,amc
2020-07-27,Ameris Bancorp,,0.6,218.95,0.61,284.77,1610.0,ABCB,bmo
2020-07-27,Lincoln Electri...,,0.34,555.5,0.8,590.73,5436.0,LECO,bmo
2020-07-27,"Trinet Group, I...",,1.11,267.41,2.03,335.0,4164.0,TNET,amc
2020-07-27,"One Gas, Inc.",,0.45,296.4,0.48,273.29,4084.0,OGS,amc
2020-07-27,Controladora Vu...,,-0.51,,-0.71,66.0,548.0,VLRS,bmo
2020-07-27,Simpson Manufac...,,0.63,253.3,1.22,326.08,3940.0,SSD,amc
2020-07-27,Tfi Internation...,,0.35,816.0,0.76,803.52,3506.0,TFII,amc
2020-07-27,Onemain Holding...,,0.22,771.63,0.8,806.0,3385.0,OMF,amc
2020-07-27,Community Bank...,,0.53,144.54,0.76,144.89,3085.0,CBU,bmo
2020-07-27,John Bean Techn...,,0.73,398.56,1.09,411.5,2853.0,JBT,amc
2020-07-27,Potlatch Corpor...,,-0.01,171.4,0.04,181.56,2843.0,PCH,amc
2020-07-27,J  J Snack Food...,,-0.11,184.6,-0.4,214.56,2427.0,JJSF,amc
2020-07-27,Bank Of Hawaii...,,0.95,167.62,0.98,177.96,2368.0,BOH,bmo
2020-07-27,First Interstat...,,0.48,164.47,0.58,162.2,1954.0,FIBK,amc
2020-07-27,Industrias Bach...,,0.72,723.54,-0.03,715.7,1798.0,IBA,amc
2020-07-27,Commercewest Ba...,,,,0.28,7.06,65.0,CWBK,amc
2020-07-27,Renasant Corpor...,,0.3,147.73,0.52,169.95,1345.0,RNST,amc
2020-07-27,German American...,,0.35,48.85,0.54,50.88,785.0,GABC,amc
2020-07-27,Nbt Bancorp Inc...,,0.43,112.55,0.56,115.46,1311.0,NBTB,amc
2020-07-27,Gladstone Comme...,,0.4,31.58,0.41,33.53,617.0,GOOD,amc
2020-07-27,Seacor Holdings...,,0.16,191.26,0.39,172.59,551.0,CKH,amc
2020-07-27,Costamare Inc.,,0.24,120.41,0.26,111.87,617.0,CMRE,amc
2020-07-27,"Healthstream, I...",,0.01,59.09,0.11,60.55,695.0,HSTM,amc
2020-07-27,"Homestreet, Inc...",,0.31,76.79,0.86,88.1,563.0,HMST,amc
2020-07-27,Forterra Inc,,0.39,420.0,0.4,426.19,858.0,FRTA,amc
2020-07-27,Universal Healt...,,,,0.83,19.28,928.0,UHT,amc
2020-07-27,Park National C...,,1.36,99.16,1.65,112.15,1125.0,PRK,amc
2020-07-27,Heartland Finan...,,0.45,141.79,0.82,154.78,1148.0,HTLF,amc
2020-07-27,Lakeland Financ...,,0.51,48.55,0.77,50.7,1169.0,LKFN,bmo
2020-07-27,Pacific Premier...,,-0.43,140.67,-1.41,137.19,1264.0,PPBI,bmo
2020-07-24,Shinhan Financi...,,,,1.44,2782.82,12040.0,SHG,bmo
2020-07-24,"Bloomin Brands,...",,-1.15,601.65,-0.74,578.46,941.0,BLMN,bmo
2020-07-24,Virtus Investme...,,3.05,118.05,3.24,118.08,1017.0,VRTS,bmo
2020-07-24,"Veoneer, Inc.",,-1.38,189.55,-0.8,184.0,1534.0,VNE,bmo
2020-07-24,Moog Inc.,,0.42,633.1,0.93,657.54,1740.0,MOG.A,bmo
2020-07-24,Tri Pointe Grou...,,0.29,686.19,0.51,767.81,2221.0,TPH,bmo
2020-07-24,"First Hawaiian,...",,0.22,179.45,0.16,173.48,2414.0,FHB,bmo
2020-07-24,United Bankshar...,,0.43,222.93,0.44,258.99,2856.0,UBSI,bmo
2020-07-24,"Carters, Inc.",,-0.38,511.2,0.54,514.89,3727.0,CRI,bmo
2020-07-24,Grupo Aeroportu...,,-0.55,,-0.45,63.74,3799.0,PAC,bmo
2020-07-24,Equinor Asa,,-0.13,,0.19,7603.0,50881.0,EQNR,bmo
2020-07-24,Gentex Corporat...,,0.12,262.15,0.02,229.93,6435.0,GNTX,bmo
2020-07-24,Altra Industria...,,0.34,375.59,0.6,400.8,2206.0,AIMC,bmo
2020-07-24,Nextera Energy...,,0.5,332.81,0.69,253.0,3842.0,NEP,bmo
2020-07-24,Triton Internat...,,0.89,,0.86,321.4,2109.0,TRTN,bmo
2020-07-24,"Nextera Energy,...",,2.5,5262.51,2.61,4204.0,137521.0,NEE,bmo
2020-07-24,Honeywell Inter...,,1.15,7237.36,1.26,7477.0,107895.0,HON,bmo
2020-07-24,American Expres...,,0.13,7900.39,0.29,7675.0,77817.0,AXP,bmo
2020-07-24,Schlumberger Li...,,0.0,5440.56,0.05,5356.0,26785.0,SLB,bmo
2020-07-24,Verizon Communi...,,1.16,29909.96,1.18,30447.0,231107.0,VZ,bmo
2020-07-24,Mercantil Bank...,,-0.14,60.06,-0.34,66.08,573.0,AMTB,bmo
2020-07-24,Esquire Financi...,,0.44,12.3,0.33,12.13,125.0,ESQ,bmo
2020-07-24,Severn Bancorp...,,,,0.14,9.88,78.0,SVBI,amc
2020-07-24,Loomis Ab,,,,0.0,437.94,,LOIMF,bmo
2020-07-24,Gormanrupp Comp...,,,,0.28,85.81,840.0,GRC,bmo
2020-07-24,Ofg Bancorp,,0.26,128.6,0.39,128.17,738.0,OFG,bmo
2020-07-23,Att Inc.,,0.78,41157.21,0.83,40950.0,217289.0,T,bmo
2020-07-23,Valley National...,,0.23,306.74,0.23,327.39,3031.0,VLY,bmo
2020-07-23,First Financial...,,0.27,147.5,,,1392.0,FFBC,amc
2020-07-23,First Merchants...,,0.44,120.3,0.62,119.5,1392.0,FRME,bmo
2020-07-23,Wsfs Financial...,,0.34,147.5,,,1403.0,WSFS,amc
2020-07-23,Atlantic Union...,,0.3,155.04,0.39,173.24,1803.0,AUB,bmo
2020-07-23,"Maxlinear, Inc",,0.08,65.29,,,1950.0,MXL,amc
2020-07-23,Sciplay Corpora...,,0.26,135.07,,,1982.0,SCPL,amc
2020-07-23,Chart Industrie...,,0.43,287.74,0.63,310.4,1984.0,GTLS,bmo
2020-07-23,Associated Banc...,,0.26,323.82,,,2080.0,ASB,amc
2020-07-23,Columbia Bankin...,,0.24,143.6,0.52,159.11,2175.0,COLB,bmo
2020-07-23,Independent Ban...,,0.75,124.8,,,2218.0,INDB,amc
2020-07-23,Webster Financi...,,0.54,298.68,0.61,284.48,2425.0,WBS,bmo
