,Company,ESP,Estimate_eps,Estimate_sales,Reported_eps,Reported_sales,cap,symbol,timing,before,after,close,spy_before,spy_after,cons,beta,r2,dev,macd_before,macd_after
2020-07-28,Asbury Automoti...,+0.05,2.47,1405.75,2.52,1445.1,2016.0,ABG,bmo,108.77,108.77,,322.96,320.95,0.0005197499856290093,1.4238860965063722,0.4724945247066542,0.983483240682236,1.002156421603578,1.1254915724470846
2020-07-28,"Harleydavidson,...",-0.66,0.06,798.14,-0.6,669.27,4453.0,HOG,bmo,29.28,27.61,,322.96,320.95,0.0018794493065934963,1.6024076493179207,0.5498115768988949,-0.4155902549320943,0.03004722614849098,0.17418289784465157
2020-07-28,Yandex N.v.,+0.04,0.05,594.73,0.09,591.9,18256.0,YNDX,bmo,57.89,55.43,,322.96,320.95,-0.0009833165652756697,1.0033677805890995,0.47862744729804996,-0.4815527428682713,-0.03543822059941215,0.13494758448525968
2020-07-27,Aerojet Rocketd...,,0.43,501.04,0.47,512.4,2928.0,AJRD,amc,36.81,41.44,,322.96,320.95,0.0011771148339847506,1.1107399761026882,0.5281565539107798,-0.7846832096605217,0.4198092406580305,0.15882984443665882
2020-07-27,Encompass Healt...,,0.39,1062.1,0.31,1074.1,6565.0,EHC,amc,66.78,70.49,,322.96,320.95,0.00033313265668067726,0.9964189852460792,0.5997946668215594,0.4393281739762349,0.8948608662972568,0.6985381906086028
2020-07-27,"Brown  Brown, I...",,0.29,574.69,0.34,598.8,12867.0,BRO,amc,45.49,46.2,,322.96,320.95,-0.0005642790999447248,0.9418396182335671,0.6969608172698845,-0.8874460291345041,0.35349747724017466,0.34663992177160896
2020-07-27,Ryanair Holding...,,-1.45,138.6,-0.93,137.83,16557.0,RYAAY,bmo,73.56,69.73,73.0,322.96,320.95,0.00010839960990244974,1.0562383199510148,0.3823026336076647,2.8784715169699924,0.32947067768091187,0.6230342050388501
2020-07-27,Ucb Sa,,,,,,24965.0,UCBJF,bmo,128.35,128.35,128.35,322.96,320.95,-0.002051472172534786,0.034380055802261,0.00042653426943639605,0.2614581572883937,-0.35421894855365643,-0.29599973210533914
2020-07-27,"Legg Mason, Inc...",,0.71,692.32,0.71,666.19,4446.0,LM,bmo,49.98,50.0,49.99,322.96,320.95,-0.0008612301269207912,0.283083575815613,0.11050742723106566,-1.2683237698503114,0.01766503256969413,0.01952648816770812
2020-07-27,Hexcel Corporat...,,0.2,343.57,0.08,378.7,3811.0,HXL,amc,44.65,41.69,,322.96,320.95,0.003441765542213961,1.42463592252656,0.44558692679412826,-0.11190759364475814,-0.30637212127090163,-0.05999796137108737
2020-07-27,Affiliated Mana...,,2.7,464.03,2.74,471.1,3318.0,AMG,bmo,70.23,70.34,71.52,322.96,320.95,0.0015617903685295254,1.4041431559761774,0.6351854796161225,0.40260617353681294,-0.220401929452888,-0.18082366059031016
2020-07-27,Avery Dennison...,,1.12,1512.32,1.27,1528.5,10035.0,AVY,bmo,120.41,120.46,115.86,322.96,320.95,0.00032348269508265305,1.0548044228142266,0.5819877489587586,2.5654818327158933,0.4361293333228651,0.5592702266262224
2020-07-27,Universal Healt...,,0.52,2428.44,2.93,2729.75,9179.0,UHS,amc,109.37,111.26,,322.96,320.95,0.002246905325485679,1.4578000367903583,0.581377291491272,0.5362892634206254,2.154000564076916,2.117760399219798
2020-07-27,"Usa Truck, Inc....",,-0.09,117.4,-0.06,123.74,76.0,USAK,amc,8.74,8.8,,322.96,320.95,0.001507019478659627,1.3297937622558234,0.21922646575159122,2.7049922567622184,-0.03774948548636853,-0.029701311081781978
