Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ALGN,Align Technology,193.19,8.78,4.76%,183.87,197.99,181.86,1765900,4/9/2020
ALK,Alaska Air Group,31.61,2.47,8.48%,31.24,33.6,30.39,4210800,4/9/2020
ALKS,Alkermes Plc,15.43,-0.4,-2.53%,15.94,16.33,15.09,1457300,4/9/2020
ALL,Allstate Corp,100.34,3.09,3.18%,98.94,102.19,97.8,2714200,4/9/2020
ALLE,Allegion Plc,95.36,0.71,0.75%,94.72,97.81,94.16,816600,4/9/2020
ALLY,Ally Financial,16.83,1.61,10.58%,16.31,17.61,16.15,10543399,4/9/2020
ALNY,Alnylam Pharmaceuticals,116.38,4.99,4.48%,110.74,117.1,110.74,572100,4/9/2020
ALSN,Allison Transmission Holdings,34.89,-0.15,-0.43%,35.39,36.57,34.81,1165000,4/9/2020
ALXN,Alexion Pharm Inc,96.23,-2.33,-2.36%,97.91,99.28,94.23,3281400,4/9/2020
AM,Antero Midstream Corp,2.52,0,0.00%,2.65,2.85,2.48,18636600,4/9/2020
AMAT,Applied Materials,49.59,-1.87,-3.63%,52,52.74,48.68,11659101,4/9/2020
AMCX,Amc Networks Cl A,24.5,0.04,0.16%,25.03,26.46,23.78,927900,4/9/2020
AMD,Adv Micro Devices,48.38,-0.41,-0.84%,49.65,50.25,47.72,80357297,4/9/2020
AME,Amtek Inc,78.23,1,1.29%,77.81,80.64,77.33,1537700,4/9/2020
AMG,Affiliated Managers Group,66.6,1.46,2.24%,66.67,72.54,65.16,1108500,4/9/2020
AMGN,Amgen Inc,218.21,-0.98,-0.45%,217.4,219.35,215.7,2503300,4/9/2020
AMH,American Homes 4 Rent,24.69,0.8,3.35%,24.14,25.24,23.97,4469100,4/9/2020
AMP,Ameriprise Financial Services,120.47,8.78,7.86%,113.64,124.61,113.64,1608600,4/9/2020
AMT,American Tower Corp,259.6,10.35,4.15%,248.5,260.43,248.2,4331900,4/9/2020
AMTD,TD Ameritrade HD,37.96,0.34,0.90%,38.33,39.37,37.49,5288400,4/9/2020
AMZN,Amazon.com Inc,2042.76,-0.24,-0.01%,2044.3,2053,2017.66,4655600,4/9/2020
AN,Autonation Inc,33.65,2.66,8.58%,32.19,36.31,32.07,2372800,4/9/2020
ANAT,Amer Natl Insurance,79.63,2.02,2.60%,79.53,80.71,79,76100,4/9/2020
ANET,Arista Networks Inc,209.91,-4.68,-2.18%,211.22,212.5,206.35,1384300,4/9/2020
ANSS,Ansys Inc,237.92,-6.45,-2.64%,243.17,244.23,234.59,821100,4/9/2020
ANTM,Anthem Inc,242.46,-4.56,-1.85%,240.94,248.05,239.93,2191200,4/9/2020
AON,AON Plc,192.05,4.09,2.18%,190.57,193.6,186.68,1798500,4/9/2020
AOS,Smith [A.O.] Corp,40.21,-0.01,-0.02%,40.52,41.42,39.64,1849200,4/9/2020
APA,Apache Corp,8.2,0.62,8.18%,9.11,10.06,7.13,92823695,4/9/2020
APD,Air Products and Chemicals,219.32,3.56,1.65%,215.13,222.6,215.13,1744000,4/9/2020
APH,Amphenol Corp,81.91,2.29,2.88%,80.29,83.12,80.28,1785500,4/9/2020
APLE,Apple Hospitality REIT Inc,9.14,0.93,11.33%,8.55,9.52,8.55,4662000,4/9/2020
APTV,Aptiv Plc,62.23,2.03,3.37%,63.14,66.65,62.01,3606900,4/9/2020
APY,Apergy Corp,9.3,0.64,7.39%,8.97,10.12,8.5,2236600,4/9/2020
AR,Antero Resources Corp,1.47,0.16,12.21%,1.37,1.67,1.28,21017799,4/9/2020
ARD,Ardagh Group S.A.,13.14,0.54,4.29%,12.79,13.22,12.68,105600,4/9/2020
ARE,Alexandria Real Estate Equities,157.8,10.36,7.03%,149.25,158.47,149.25,1360000,4/9/2020
ARMK,Aramark Holdings Corp,23.29,-0.02,-0.09%,24.31,28.12,23.13,8307200,4/9/2020
ARNC,Arconic Corp,10.79,0.76,7.58%,10.87,11.14,10,6333400,4/9/2020
ARW,Arrow Electronics,59.2,1.63,2.83%,59.32,60.97,58.75,629100,4/9/2020
ASB,Associated Banc-Corp,14.41,0.67,4.88%,14.2,14.67,13.94,2597800,4/9/2020
ASH,Ashland Global Holdings Inc,57.64,4.34,8.14%,54.32,58.19,53.64,432000,4/9/2020
ATH,Athene Holding Ltd,30.35,3.75,14.10%,27.91,31.29,27.68,5298500,4/9/2020
ATO,Atmos Energy Corp,105.2,2.55,2.48%,103.96,108.41,103.41,1263800,4/9/2020
ATR,Aptargroup,107.27,3.16,3.04%,105.04,108.03,104.23,399300,4/9/2020
ATUS,Altice USA Inc Cl A,24.6,0.59,2.46%,24.75,26.05,24.29,7856300,4/9/2020
ATVI,Activision Blizzard,60.46,-0.61,-1.00%,61.28,61.8,59.55,8404899,4/9/2020
AVB,Avalonbay Communities,167.36,6.63,4.12%,162.8,172.91,162.8,1751300,4/9/2020
AVGO,Broadcom Ltd,254.3,-6.8,-2.60%,265.79,267.5,251.31,3482700,4/9/2020
AVLR,Avalara Inc,73.72,-1.78,-2.36%,76.49,79.94,72.11,726800,4/9/2020
AVT,Avnet Inc,28.22,0.18,0.64%,28.85,29.2,27.88,736700,4/9/2020
AVTR,Avantor Inc,13.92,0.83,6.34%,13.3,14.14,13.2,3976200,4/9/2020
AVY,Avery Dennison Corp,115.03,4.82,4.37%,110.94,116.67,110.94,688700,4/9/2020
AWI,Armstrong World Industries Inc,84.29,5.81,7.40%,80.4,84.76,78.72,270500,4/9/2020
AWK,American Water Works,131.75,6.4,5.11%,126.38,132.87,125.6,1177200,4/9/2020
AXP,American Express Company,94.82,2.74,2.98%,94.59,97.85,93.46,6904900,4/9/2020
AXS,Axis Capital Holdings,42.37,2.19,5.45%,41.03,42.61,40.81,460500,4/9/2020
AXTA,Axalta Coating Systems Ltd,18.63,0.65,3.62%,18.28,19.16,18.2,2735200,4/9/2020
AYI,Acuity Brands Inc,92.14,2.47,2.75%,91.36,95.22,90.71,290200,4/9/2020
AYX,Alteryx Inc,107.92,10.98,11.33%,100.69,112.99,100.69,3450200,4/9/2020
AZO,Autozone,940.83,25.61,2.80%,940,963.72,924,287800,4/9/2020
AZPN,Aspen Technology,97.24,2.37,2.50%,95.76,99.17,94.01,590300,4/9/2020
BA,Boeing Company,151.84,4.97,3.38%,154.71,157.98,150.09,38049500,4/9/2020
BAC,Bank of America Corp,24.86,1.41,6.01%,24.07,25.32,24.05,125414711,4/9/2020
